ID,Name,Type,BirthDate,Commands,SourceTable
1,Fido,Dog,2020-01-01,"Sit, Stay, Fetch",Pets
2,Whiskers,Cat,2019-05-15,"Sit, Pounce",Pets
3,Hammy,Hamster,2021-03-10,"Roll, Hide",Pets
4,Buddy,Dog,2018-12-10,"Sit, Paw, Bark",Pets
5,Smudge,Cat,2020-02-20,"Sit, Pounce, Scratch",Pets
6,Peanut,Hamster,2021-08-01,"Roll, Spin",Pets
7,Bella,Dog,2019-11-11,"Sit, Stay, Roll",Pets
8,Oliver,Cat,2020-06-30,"Meow, Scratch, Jump",Pets
1,Thunder,Horse,2015-07-21,"Trot, Canter, Gallop",Equines
4,Storm,Horse,2014-05-05,"Trot, Canter",Equines
7,Blaze,Horse,2016-02-29,"Trot, Jump, Gallop",Equines
3,Eeyore,Donkey,2017-09-18,"Walk, Carry Load, Bray",Equines
6,Burro,Donkey,2019-01-23,"Walk, Bray, Kick",Equines
6,Peanut,Hamster,2021-08-01,"Roll, Spin",YoungAnimals
